iteration,max_combo_size,total_time,n_subset_candidates,n_subsets_continued,best_size,time_on_held_out
0,14,105.56944799423218,725776,76592,4,102.46381497383118
0,13,102.77099204063416,725776,76592,4,102.46381497383118
0,12,101.60940289497375,725776,76592,4,102.46381497383118
0,11,106.39822578430176,725776,76592,4,102.46381497383118
0,10,107.68618106842041,725776,76592,4,102.46381497383118
0,9,104.24266791343689,725776,76592,4,102.46381497383118
0,8,106.89910817146301,725776,76592,4,102.46381497383118
0,7,104.05884003639221,725776,76592,4,102.46381497383118
0,6,108.29326915740967,725776,76592,4,102.46381497383118
0,5,105.16454601287842,725969,76592,4,102.46381497383118
0,4,100.71266889572144,731291,76592,4,102.46381497383118
0,3,102.15501403808594,947507,76592,4,102.46381497383118
0,2,120.7741858959198,6733181,76592,4,102.46381497383118
0,1,119.12899398803711,6733181,76592,4,102.46381497383118
0,0,130.55557107925415,6733181,76592,4,102.46381497383118
1,14,125.70683097839355,729726,81297,3,77.35386610031128
1,13,125.1872181892395,729726,81297,3,77.35386610031128
1,12,106.85338401794434,729726,81297,3,77.35386610031128
1,11,109.24960589408875,729726,81297,3,77.35386610031128
1,10,104.0803108215332,729726,81297,3,77.35386610031128
1,9,104.06251406669617,729726,81297,3,77.35386610031128
1,8,110.46645402908325,729726,81297,3,77.35386610031128
1,7,107.18457293510437,729726,81297,3,77.35386610031128
1,6,106.94188404083252,729727,81297,3,77.35386610031128
1,5,105.24040102958679,729851,81297,3,77.35386610031128
1,4,107.16418504714966,735981,81297,3,77.35386610031128
1,3,98.35779619216919,968803,81297,3,77.35386610031128
1,2,115.71749901771545,7219746,81297,3,77.35386610031128
1,1,114.98886299133301,7219746,81297,3,77.35386610031128
1,0,112.05225491523743,7219746,81297,3,77.35386610031128
2,14,83.17926478385925,710007,70098,3,141.81813406944275
2,13,82.64006090164185,710007,70098,3,141.81813406944275
2,12,83.49656987190247,710007,70098,3,141.81813406944275
2,11,82.45096206665039,710007,70098,3,141.81813406944275
2,10,82.45037293434143,710007,70098,3,141.81813406944275
2,9,82.40224003791809,710007,70098,3,141.81813406944275
2,8,83.30776500701904,710007,70098,3,141.81813406944275
2,7,82.64439988136292,710007,70098,3,141.81813406944275
2,6,82.62371706962585,710008,70098,3,141.81813406944275
2,5,83.58381700515747,710204,70098,3,141.81813406944275
2,4,82.55901598930359,714713,70098,3,141.81813406944275
2,3,78.45340394973755,902457,70098,3,141.81813406944275
2,2,86.72360110282898,5936347,70098,3,141.81813406944275
2,1,87.16178488731384,5936347,70098,3,141.81813406944275
2,0,86.35581088066101,5936347,70098,3,141.81813406944275
3,14,88.78398180007935,711332,73184,9,93.46234393119812
3,13,88.15542006492615,711332,73184,9,93.46234393119812
3,12,87.76524591445923,711332,73184,9,93.46234393119812
3,11,88.47168922424316,711332,73184,9,93.46234393119812
3,10,88.02906894683838,711332,73184,9,93.46234393119812
3,9,87.58852291107178,711332,73184,9,93.46234393119812
3,8,99.72504591941833,711332,73184,9,93.46234393119812
3,7,102.05085492134094,711332,73184,9,93.46234393119812
3,6,100.01655411720276,711334,73184,9,93.46234393119812
3,5,111.12009286880493,711468,73184,9,93.46234393119812
3,4,100.99584102630615,716519,73184,9,93.46234393119812
3,3,97.86253094673157,920413,73184,9,93.46234393119812
3,2,92.72323203086853,6264013,73184,9,93.46234393119812
3,1,93.50216889381409,6264013,73184,9,93.46234393119812
3,0,92.06617999076843,6264013,73184,9,93.46234393119812
4,14,91.31976294517517,718644,75590,12,93.42097115516663
4,13,90.68213295936584,718644,75590,12,93.42097115516663
4,12,90.28914499282837,718644,75590,12,93.42097115516663
4,11,92.43957209587097,718644,75590,12,93.42097115516663
4,10,104.3799180984497,718644,75590,12,93.42097115516663
4,9,110.84897112846375,718644,75590,12,93.42097115516663
4,8,114.69345092773438,718644,75590,12,93.42097115516663
4,7,102.51230812072754,718644,75590,12,93.42097115516663
4,6,100.61626696586609,718645,75590,12,93.42097115516663
4,5,111.06083989143372,718761,75590,12,93.42097115516663
4,4,105.97097086906433,723448,75590,12,93.42097115516663
4,3,123.77365589141846,911108,75590,12,93.42097115516663
4,2,107.66304588317871,6450845,75590,12,93.42097115516663
4,1,117.66434597969055,6450845,75590,12,93.42097115516663
4,0,114.72221684455872,6450845,75590,12,93.42097115516663
5,14,99.34888291358948,706049,72798,3,95.48467087745667
5,13,98.86088609695435,706049,72798,3,95.48467087745667
5,12,96.42590808868408,706049,72798,3,95.48467087745667
5,11,94.6497130393982,706049,72798,3,95.48467087745667
5,10,104.18248319625854,706049,72798,3,95.48467087745667
5,9,95.01697397232056,706049,72798,3,95.48467087745667
5,8,101.91727685928345,706049,72798,3,95.48467087745667
5,7,106.6579360961914,706049,72798,3,95.48467087745667
5,6,99.93462896347046,706049,72798,3,95.48467087745667
5,5,92.99744296073914,706258,72798,3,95.48467087745667
