iteration,max_combo_size.train,total_time.train,n_subset_candidates.train,n_subsets_continued.train,max_combo_size.test,total_time.test,n_subset_candidates.test,n_subsets_continued.test
7,14,118.77405095100403,725806,84870,14,101.48813986778259,722040,80977
7,13,119.6854248046875,725806,84870,13,101.87470602989197,722040,80977
7,12,119.23020792007446,725806,84870,12,100.82726693153381,722040,80977
7,11,119.96004581451416,725806,84870,11,101.09652090072632,722040,80977
7,10,118.66462993621826,725806,84870,10,101.83321213722229,722040,80977
7,9,118.73035097122192,725806,84870,9,100.94797897338867,722040,80977
7,8,119.48259019851685,725806,84870,8,100.91330289840698,722040,80977
7,7,118.47272086143494,725806,84870,7,101.32241916656494,722040,80977
7,6,118.34614992141724,725807,84870,6,100.03088808059692,722054,80977
7,5,117.30475902557373,725922,84870,5,99.61836099624634,722213,80977
7,4,114.08124208450317,731529,84870,4,98.63765287399292,727537,80977
7,3,110.47462892532349,957636,84870,3,93.39528298377991,934711,80977
7,2,119.14233493804932,7685933,84870,2,106.20731115341187,7075478,80977
8,14,89.11742186546326,721792,71658,14,83.39603805541992,699938,68224
8,13,87.428551197052,721792,71658,13,82.11224007606506,699938,68224
8,12,87.35712003707886,721792,71658,12,82.08768510818481,699938,68224
8,11,88.3358850479126,721792,71658,11,81.93595504760742,699938,68224
8,10,87.5954339504242,721792,71658,10,83.09434700012207,699938,68224
8,9,87.4872670173645,721792,71658,9,81.79382491111755,699938,68224
8,8,88.54969692230225,721792,71658,8,82.81744003295898,699938,68224
8,7,87.62491798400879,721792,71658,7,81.9530279636383,699938,68224
8,6,88.13692092895508,721793,71658,6,83.03901195526123,699940,68224
8,5,87.14478397369385,721902,71658,5,82.50732803344727,700100,68224
8,4,87.359445810318,726610,71658,4,80.5104079246521,705753,68224
8,3,82.65796208381653,934468,71658,3,78.69295692443848,888917,68224
8,2,92.29830598831177,6220950,71658,2,89.63704800605774,5895243,68224
9,14,91.23257899284363,708700,71183,14,83.38966989517212,714874,69580
9,13,87.70375204086304,708700,71183,13,83.2870409488678,714874,69580
9,12,88.37424802780151,708700,71183,12,83.72749996185303,714874,69580
9,11,87.17384696006775,708700,71183,11,83.14768099784851,714874,69580
9,10,87.05143618583679,708700,71183,10,82.86473298072815,714874,69580
9,9,88.26123785972595,708700,71183,9,83.22605204582214,714874,69580
9,8,87.49823808670044,708700,71183,8,83.99546885490417,714874,69580
9,7,87.26028084754944,708700,71183,7,83.1032509803772,714874,69580
9,6,87.35912990570068,708702,71183,6,82.96462297439575,714875,69580
9,5,87.14260482788086,708918,71183,5,85.04282689094543,715024,69580
9,4,85.89423489570618,713521,71183,4,87.96709108352661,720351,69580
9,3,82.51341080665588,913507,71183,3,78.70196485519409,910986,69580
9,2,93.7343909740448,6197940,71183,2,87.25542497634888,5984400,69580
10,14,89.40946507453918,724288,74122,14,109.39332318305969,717249,83581
10,13,87.87535405158997,724288,74122,13,109.9927830696106,717249,83581
10,12,87.81296896934509,724288,74122,12,112.55384302139282,717249,83581
10,11,87.68020987510681,724288,74122,11,109.90867400169373,717249,83581
10,10,88.91390490531921,724288,74122,10,109.81673002243042,717249,83581
10,9,87.76430296897888,724288,74122,9,108.89101600646973,717249,83581
10,8,87.69329881668091,724288,74122,8,110.26223492622375,717249,83581
10,7,88.7361650466919,724288,74122,7,108.72519898414612,717249,83581
10,6,87.58284211158752,724288,74122,6,107.93306398391724,717251,83581
10,5,87.63216495513916,724401,74122,5,108.21630501747131,717413,83581
10,4,87.64758896827698,728864,74122,4,104.97777080535889,723162,83581
10,3,82.8314299583435,926242,74122,3,98.43335318565369,962356,83581
10,2,92.5074770450592,6196490,74122,2,110.1526517868042,7172241,83581
11,14,100.58778190612793,742669,78825,14,86.90389013290405,687185,68681
11,13,97.10871696472168,742669,78825,13,85.772775888443,687185,68681
11,12,101.7119209766388,742669,78825,12,83.9407479763031,687185,68681
11,11,98.87928509712219,742669,78825,11,84.21605515480042,687185,68681
11,10,97.03208899497986,742669,78825,10,85.00262403488159,687185,68681
11,9,98.9609489440918,742669,78825,9,84.30794906616211,687185,68681
11,8,99.36055278778076,742669,78825,8,84.46670794487,687185,68681
11,7,98.99238705635071,742669,78825,7,84.46423602104187,687185,68681
11,6,100.62667298316956,742675,78825,6,85.14964008331299,687185,68681
11,5,98.60003399848938,742903,78825,5,85.59333682060242,687377,68681
11,4,97.34816408157349,747718,78825,4,83.3302571773529,691768,68681
11,3,94.38677906990051,976821,78825,3,80.00127506256104,874452,68681
11,2,109.33741092681885,6835537,78825,2,88.31772685050964,5923953,68681
12,14,100.92889285087585,721109,76818,14,89.56185793876648,710917,73453
12,13,98.75227999687195,721109,76818,13,90.12920999526978,710917,73453
12,12,98.96629405021667,721109,76818,12,89.39464616775513,710917,73453
12,11,97.58197116851807,721109,76818,11,89.0487711429596,710917,73453
12,10,97.60815000534058,721109,76818,10,90.80040502548218,710917,73453
12,9,99.93746495246887,721109,76818,9,91.04684495925903,710917,73453
12,8,99.18592095375061,721109,76818,8,90.72300601005554,710917,73453
12,7,97.56812500953674,721109,76818,7,90.38815712928772,710917,73453
12,6,98.37620186805725,721110,76818,6,91.5459520816803,710918,73453
12,5,97.19456195831299,721274,76818,5,90.5701949596405,711039,73453
12,4,95.50027513504028,726850,76818,4,88.44352078437805,716232,73453
12,3,91.92982411384583,931667,76818,3,85.80291891098022,923879,73453
12,2,103.8088788986206,6837844,76818,2,93.07659602165222,6306988,73453
13,14,88.7254991531372,714848,75007,14,124.8702130317688,725114,82887
13,13,92.25543403625488,714848,75007,13,120.77641010284424,725114,82887
